#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Symbol,Date_datetime
2304,Aura,Boston,USA,North America,70.0,2022-06-23,9.0,778.0,708.0,Security,Series F,$500,2022,42.35843,-71.05977,AURA,2022-06-23
2303,Netflix,San Francisco Bay Area,USA,North America,300.0,2022-06-23,3.0,10000.0,9700.0,Media,Post-IPO,$121900,2022,37.22661,-121.97468,NFLX,2022-06-23
2290,UiPath,New York City,USA,North America,210.0,2022-06-27,5.0,4200.0,3990.0,Data,Post-IPO,$2000,2022,40.71427,-74.00597,PATH,2022-06-27
2263,Unity,San Francisco Bay Area,USA,North America,200.0,2022-06-29,4.0,5000.0,4800.0,Other,Post-IPO,$1300,2022,37.77493,-122.41942,U,2022-06-29
2254,Nate,New York City,USA,North America,30.0,2022-06-30,20.0,150.0,120.0,Retail,Series A,$47,2022,40.71427,-74.00597,NTRA,2022-06-30
2256,Stream,Boulder,USA,North America,20.0,2022-06-30,12.0,167.0,147.0,Product,Series B,$58,2022,40.01499,-105.27055,STRM,2022-06-30
2247,Canoo,Los Angeles,USA,North America,58.0,2022-07-01,6.0,967.0,909.0,Transportation,Post-IPO,$300,2022,34.05223,-118.24368,GOEV,2022-07-01
2242,Celsius,New York City,USA,North America,150.0,2022-07-03,25.0,600.0,450.0,Crypto,Series B,$864,2022,40.71427,-74.00597,CELH,2022-07-03
2188,Fabric,New York City,USA,North America,120.0,2022-07-13,40.0,300.0,180.0,Logistics,Series C,$336,2022,40.71427,-74.00597,GIFI,2022-07-13
2154,Lyft,San Francisco Bay Area,USA,North America,60.0,2022-07-20,2.0,3000.0,2940.0,Transportation,Post-IPO,$4900,2022,37.77493,-122.41942,LYFT,2022-07-20
2123,Dover,San Francisco Bay Area,USA,North America,23.0,2022-07-26,30.0,77.0,54.0,Recruiting,Series A,$22,2022,37.33939,-121.89496,DOV,2022-07-26
2122,Outbrain,New York City,USA,North America,38.0,2022-07-26,3.0,1267.0,1229.0,Marketing,Post-IPO,$394,2022,40.71427,-74.00597,OB,2022-07-26
2118,Shopify,Ottawa,Canada,North America,1000.0,2022-07-26,10.0,10000.0,9000.0,Retail,Post-IPO,$122,2022,45.41117,-75.69812,SHOP,2022-07-26
2114,Rivian,Detroit,USA,North America,840.0,2022-07-27,6.0,14000.0,13160.0,Transportation,Post-IPO,$10700,2022,42.33143,-83.04575,RIVN,2022-07-27
2070,Robinhood,San Francisco Bay Area,USA,North America,713.0,2022-08-02,23.0,3100.0,2387.0,Finance,Post-IPO,$5600,2022,37.45383,-122.18219,HOOD,2022-08-02
2064,Beyond Meat,Los Angeles,USA,North America,40.0,2022-08-03,4.0,1000.0,960.0,Food,Post-IPO,$122,2022,34.05223,-118.24368,BYND,2022-08-03
2048,Doma,San Francisco Bay Area,USA,North America,250.0,2022-08-04,13.0,1923.0,1673.0,Finance,Post-IPO,$679,2022,37.77493,-122.41942,DOMA,2022-08-04
2043,iRobot,Boston,USA,North America,140.0,2022-08-05,10.0,1400.0,1260.0,Consumer,Acquired,$30,2022,42.35843,-71.05977,IRBT,2022-08-05
2035,Groupon,Chicago,USA,North America,500.0,2022-08-08,15.0,3333.0,2833.0,Retail,Post-IPO,,2022,41.85003,-87.65005,GRPN,2022-08-08
2040,Perion,Tel Aviv,Israel,Asia,20.0,2022-08-08,5.0,400.0,380.0,Marketing,Post-IPO,$76,2022,32.08088,34.78057,PERI,2022-08-08
2021,Quanterix,Boston,USA,North America,130.0,2022-08-09,25.0,520.0,390.0,Healthcare,Post-IPO,$533,2022,42.35843,-71.05977,QTRX,2022-08-09
2020,Nutanix,San Francisco Bay Area,USA,North America,270.0,2022-08-09,4.0,6750.0,6480.0,Infrastructure,Post-IPO,$1100,2022,37.33939,-121.89496,NTNX,2022-08-09
2018,GoHealth,Chicago,USA,North America,800.0,2022-08-09,20.0,4000.0,3200.0,Healthcare,Post-IPO,$75,2022,41.85003,-87.65005,GOCO,2022-08-09
